# date	2026-09-06 01:43:34
# term	xterm-kitty
# term_program	
# term_program_version	
# xtversion	kitty(0.48.2)
# termbuf_caps	
# columns	123
# rows	37
# answered	primary_attributes,secondary_attributes,xtversion,xtgettcap,xtgettcap,synchronized_output,grapheme_clusters,focus_events,mouse_sgr,bracketed_paste,kitty_keyboard,decrqss_cursor_style,kitty_graphics,cursor_position
capability	method	result
synchronized_output	decrqm	yes
grapheme_clusters	decrqm	no
bracketed_paste	decrqm	yes
focus_events	decrqm	yes
mouse_sgr	decrqm	yes
cursor_shape	decrqss	yes
titles	table	yes
focus_events	observed	yes
mouse_sgr	observed	yes
titles	asked	yes
cursor_shape	asked	yes
